CODE,title,description,url,t_rex
AAD 307,African Literature,"An introduction to sub-Saharan African literature exploring a variety of regions, authors, genres, literary traditions and themes. Texts not originally in English will be read in English translation. For English majors or minors concentrating in literature, this course fulfills the requirement for Literature written by women, American minorities, or writers in Asia (including the Middle East), Africa, Latin America and the Caribbean. For linguistics, writing, and dramatic literature concentrators, this course counts as an elective in the major. For African and African Diaspora Studies majors and minors, this is designated as an Africa course and fulfills the requirement for 300-level courses.",https://csi-undergraduate.catalog.cuny.edu/courses/1352742,https://explorer.cuny.edu/receiving-course/135274/2
AAD 321,"Race, Law, and Public Policy in the Contemporary United States","An examination of race and racism in the United States through the prism of law and the courts. This course examines questions such as: How does race matter today? How has law shaped and been shaped by political conflicts over racial justice? Should public policy attempt to be ?color-blind? or color-conscious? Policy areas to be studied include school desegregation and the problem of urban education, affirmative action in higher education, employment discrimination and equal opportunity in the workplace, among other topics.  (liberal arts & science)",https://csi-undergraduate.catalog.cuny.edu/courses/1186122,https://explorer.cuny.edu/receiving-course/118612/2
AAD 323,Literature of the African Diaspora,"A study of literature by writers of African descent residing outside of Africa that engages such issues of identity formation, cultural hybridity and the legacy of colonialism and/or slavery. For English majors or minors concentrating in literature, this course fulfills the requirement for literature written by women, American minorities, or writers in Asia (including the Middle East), Africa, Latin America and the Caribbean. For linguistics, writing, and dramatic literature concentrators, it counts as an elective in the major. For African and African Diaspora Studies majors or minors, this course provides additional upper-level course offerings in literature. (literature)",https://csi-undergraduate.catalog.cuny.edu/courses/0642832,https://explorer.cuny.edu/receiving-course/064283/2
AAD 332,Social Movements and Social Justice,"An introduction to key sociological theories and concepts in the study of social movements.  Addressing various questions, including: how have powerless groups of people organized social movements to try to improve their lives and change the society in which they lived?  What did these movements accomplish in terms of improving people?s day-to-day lives? What role has policing and police played in social movements.",https://csi-undergraduate.catalog.cuny.edu/courses/1354823,https://explorer.cuny.edu/receiving-course/135482/3
AAD 333,Colonialism and the African Experience,"An examination of the experience of Africans under colonial rule from the average person to traditional chiefs or the aristocratic class.  This course analyzes the reactions of various classes of African society to colonial rule, focusing on the methods used by Africans to manipulate European colonial authorities, as well as the colonial response.  For History majors and minors, this is designated as a World history course.  Prerequisites: Any 200-level history course or 200-level African American Studies course and ENG 151",https://csi-undergraduate.catalog.cuny.edu/courses/0613511,https://explorer.cuny.edu/receiving-course/061351/1
AAD 335,"Social Justice, Antiracism, and Activist Media","Examines the role of media in contemporary movements for social justice and antiracism. While protest movements are often launched and galvanized on the street, and have historically used media to circulate their messages, in the 21st century, social media, messaging apps, and smartphone cameras are tools of community organizing, sites of expression, and technologies of surveillance. This course asks students to consider how consumer-grade media can be used to document injustice and advocate for social change, and how mainstream and alternative media represent protest movements. For African and African Diaspora Studies majors and minors, this is designated as a United States course and fulfills the requirement for 300-level courses.",https://csi-undergraduate.catalog.cuny.edu/courses/1514983,https://explorer.cuny.edu/receiving-course/151498/3
AAD 353,Gender in the Francophone World,"An introduction to issues of gender in francophone countries in North and West Africa, the Caribbean and Europe. This interdisciplinary course draws on literary, cultural, social scientific, and historical approaches to explore the significance of gender in different societies and to enable students to think critically about gender issues. It proposes a comparative study of feminist movements in the francophone world. Texts examined may represent a variety of literary genres and historical periods.  Prerequisite: ENG 151 and for those doing readings and assignments in French; at least two 200-level courses in French",https://csi-undergraduate.catalog.cuny.edu/courses/1485021,https://explorer.cuny.edu/receiving-course/148502/1
AAD 355,Introduction to Francophone Studies,"An introduction to literatures, cultures, socio-economic and political issues of the French-speaking world with a comparative study of Francophone African, Caribbean and Maghrebi literatures. Texts examined may represent a variety of literary genres and historical periods.  Pre-requisite: ENG 151 and for those doing readings in French; at least two 200 level courses in French or equivalent.",https://csi-undergraduate.catalog.cuny.edu/courses/0646562,https://explorer.cuny.edu/receiving-course/064656/2
AAD 361,The Heritage of Marcus Garvey and W.E.B. DuBois,"Marcus Garvey, the man and the idealist, his influence on African American consciousness; W.E.B. DuBois, the man and the thinker, his influence on African American consciousness and Pan-Americanism. For History majors and minors, this is designated as a United States history course.",https://csi-undergraduate.catalog.cuny.edu/courses/0652732,https://explorer.cuny.edu/receiving-course/065273/2
AAD 363,Civil War Reconstruction,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0613531,https://explorer.cuny.edu/receiving-course/061353/1
AAD 377,The African-American Literary Tradition,"A study of the African-American literary tradition engaging such issues as the struggle for human rights and dignity, the definition and representation of African-American culture and identity, and double consciousness. Readings may include works by Frederick Douglass, Harriet Jacobs, W.E.B. DuBois, Langston Hughes, Zora Neale Hurston, Richard Wright, Ralph Ellison, Gwendolyn Brooks, James Baldwin, and Toni Morrison. For English majors or minors concentrating in literature, this course fulfills the requirements for American Literature and for Literature by women, American minorities, or Third World writers. For linguistics, writing , and dramatic literature concentrators, it counts as an elective in the major.",https://csi-undergraduate.catalog.cuny.edu/courses/1285271,https://explorer.cuny.edu/receiving-course/128527/1
AAD 503,African American Athlete 20th Century,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0613581,https://explorer.cuny.edu/receiving-course/061358/1
AAD 540,The African Diaspora Interdisciplinary Perspective,"This course is a conceptual and thematic exploration of African-Diasporic identities and communities in the Caribbean, Brazil and Western Europe. It proposes an excavation of the African heritage in the Americas, and a study of the aesthetic, cultural and political legacy forged by people who embrace shared historical trajectories. It will adopt an interdisciplinary approach to analyze literary traditions and socio-cultural issues in the selected areas. Emphasis will be placed on political, economic and social-cultural issues. College Option:  Social Science.  PREREQUISITES : ENG 151 and COR 100",https://csi-undergraduate.catalog.cuny.edu/courses/1366581,https://explorer.cuny.edu/receiving-course/136658/1
AAD 591,Afro-Amer Ind Study,Students interested in Independent Study must make arrangements with a fulltime faculty member to sponsor the project. Applications for Independent Study will be accepted at the faculty member's discretion and by permission of the professor only. Arrangements for Independent Study must be made during the semester before the student wishes to enroll in these courses and must be approved by the faculty sponsor and the chairperson of the department or coordinator of the program. Students can register for 1 (591) to 4 (594) credits. Students are required to spend at least three hours of work per week per credit. No more than nine credits of Independent Study will be accepted toward the 60+ credits required for the associate's degree; no more than 15 credits of Inde-pendent Study and Internship coursework will be ac-cepted toward the 120+ credits for the baccalaureate degree. Registration for Independent Study courses must be completed within the first three weeks of the semester.,https://csi-undergraduate.catalog.cuny.edu/courses/0613591,https://explorer.cuny.edu/receiving-course/061359/1
AAD 592,Afro-Amer Ind Study,Students interested in Independent Study must make arrangements with a fulltime faculty member to sponsor the project. Applications for Independent Study will be accepted at the faculty member's discretion and by permission of the professor only. Arrangements for Independent Study must be made during the semester before the student wishes to enroll in these courses and must be approved by the faculty sponsor and the chairperson of the department or coordinator of the program. Students can register for 1 (591) to 4 (594) credits. Students are required to spend at least three hours of work per week per credit. No more than nine credits of Independent Study will be accepted toward the 60+ credits required for the associate's degree; no more than 15 credits of Inde-pendent Study and Internship coursework will be accepted toward the 120+ credits for the baccalaureate degree. Registration for Independent Study courses must be completed within the first three weeks of the semester.,https://csi-undergraduate.catalog.cuny.edu/courses/0613601,https://explorer.cuny.edu/receiving-course/061360/1
AAD 593,African American Studies Independent Study,Independent Study is defined as an individual library or laboratory research or creative arts project under the direct supervision of a fulltime faculty member. All Independent Study courses will be designated as liberal arts and sciences courses,https://csi-undergraduate.catalog.cuny.edu/courses/0613611,https://explorer.cuny.edu/receiving-course/061361/1
AAD 594,Afro-American Independent Study,Students interested in Independent Study must make arrangements with a fulltime faculty member to sponsor the project. Applications for Independent Study will be accepted at the faculty member's discretion and by permission of the professor only. Arrangements for Independent Study must be made during the semester before the student wishes to enroll in these courses and must be approved by the faculty sponsor and the chairperson of the department or coordinator of the program. Students can register for 1 (591) to 4 (594) credits. Students are required to spend at least three hours of work per week per credit. No more than nine credits of Independent Study will be accepted toward the 60+ credits required for the associate's degree; no more than 15 credits of Independent Study and Internship coursework will be accepted toward the 120+ credits for the baccalaureate degree. Registration for Independent Study courses must be completed within the first three weeks of the semester.,https://csi-undergraduate.catalog.cuny.edu/courses/0613621,https://explorer.cuny.edu/receiving-course/061362/1
AAD 595,Afro-Amer Internship,Afro-Amer Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0613631,https://explorer.cuny.edu/receiving-course/061363/1
AAD 596,Afro-Amer Internship,Afro-Amer Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0613641,https://explorer.cuny.edu/receiving-course/061364/1
AAD 597,Afro-Amer Internship,Afro-Amer Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0613651,https://explorer.cuny.edu/receiving-course/061365/1
AAD 598,Afro-Amer Internship,Afro-Amer Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0613661,https://explorer.cuny.edu/receiving-course/061366/1
ACC 106,Survey Of Accounting,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0612601,https://explorer.cuny.edu/receiving-course/061260/1
ACC 109,Medical Accounting,"Procedures in general bookkeeping for the medical office including banking and billing, income tax reports, employee payroll deductions and taxes. Overview of currently available computer software.",https://csi-undergraduate.catalog.cuny.edu/courses/0612611,https://explorer.cuny.edu/receiving-course/061261/1
ACC 114,Introduction to Accounting I,"Introduction to the concepts and principles of accounting. Data accumulation technique. Emphasis on preparation and interpretation of financial statements. Areas of concentration include the accounting cycle, accounting for sole proprietorship, and introduction to accounting for inventory, cash, receivables, long term assets and short term liabilities.",https://csi-undergraduate.catalog.cuny.edu/courses/0612641,https://explorer.cuny.edu/receiving-course/061264/1
ACC 218,Introduction to Accounting II,"(formerly ACC 121) A continuation of ACC 114. Partnership, corporations, and an introduction to cost accounting. Other topics discussed are current and long-term liabilities, financial statement analysis and statement of cash flow.",https://csi-undergraduate.catalog.cuny.edu/courses/0612661,https://explorer.cuny.edu/receiving-course/061266/1
ACC 300,International Accounting,"An overall view of the significant areas of transnational accounting that are relevant to accounting practices, procedures, and requirements of enterprises engaged in international operations. These areas include: foreign currency translation, accounting for inflation, financial reporting and disclosure, analyzing foreign financial statements, transfer pricing, and international taxation. (Offered only at the American University of Rome.).",https://csi-undergraduate.catalog.cuny.edu/courses/0612851,https://explorer.cuny.edu/receiving-course/061285/1
ACC 305,Intermediate Accounting I,"(formerly ACC 215) Intense coverage of accounting principles, valuation, and accounting for current assets, plant assets, acquisitions, disposals, depreciation and depletion, intangible assets, current and long-term liabilities, and concepts of present and future value. Emphasis is placed on pronouncements of the Financial Accounting Standards Board.",https://csi-undergraduate.catalog.cuny.edu/courses/0612721,https://explorer.cuny.edu/receiving-course/061272/1
ACC 310,Cost Accounting I,"Principles of cost accounting applicable to job order and process cost systems. Additional topics include cost-volume-profit relationships, standard costing, variable costing, and budgets.",https://csi-undergraduate.catalog.cuny.edu/courses/0612861,https://explorer.cuny.edu/receiving-course/061286/1
ACC 314,Intermediate Accounting II,"(formerly ACC 225). In-depth examination of long-term liabilities, stockholders' equity, and revenue recognition. Topics include bonds, stock issuance, retained earnings, leases, pensions, deferred taxes, and analysis of the statement of cash flow.",https://csi-undergraduate.catalog.cuny.edu/courses/0612761,https://explorer.cuny.edu/receiving-course/061276/1
ACC 315,Analysis of Financial Statements,"The tools and techniques needed to explore the balance sheet, income statement, and the statement of cash flow. Heavy emphasis is on the use of ratios to evaluate the statements. Not open to Accounting majors.",https://csi-undergraduate.catalog.cuny.edu/courses/0612891,https://explorer.cuny.edu/receiving-course/061289/1
ACC 316,Government and Not-for-Profit Accounting,"(formerly ACC 235) Thorough discussion and analysis of accounting for state and local governments and other not-for-profit institutions such as universities, hospitals, and voluntary health and welfare organizations. Topics discussed will include budgetary accounting, fund accounting, account groups, and financial statements.",https://csi-undergraduate.catalog.cuny.edu/courses/0612791,https://explorer.cuny.edu/receiving-course/061279/1
ACC 318,New York State and Local Taxes,"A comprehensive study of various forms of State and municipal taxation, including personal income, unincorporated business, franchise, unemployment insurance, and occupancy taxes.",https://csi-undergraduate.catalog.cuny.edu/courses/0612911,https://explorer.cuny.edu/receiving-course/061291/1
ACC 320,Cost Accounting II,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0612921,https://explorer.cuny.edu/receiving-course/061292/1
ACC 325,Federal Income Taxation I,"(formerly ACC 241) A comprehensive study of federal income tax principles and concepts as they apply to individuals. Tax treatment of the individual is stressed initially with emphasis on rates and exemptions, concepts of gross income, recognition and realization of income, and capital gain and loss concepts. Additional topics include exclusions, deductions and credits, analysis of property transactions, federal tax research, preparation of individual federal income tax returns, and computer tax returns.",https://csi-undergraduate.catalog.cuny.edu/courses/0612811,https://explorer.cuny.edu/receiving-course/061281/1
ACC 330,Managerial Accountng,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0612931,https://explorer.cuny.edu/receiving-course/061293/1
ACC 332,Accounting Information Systems,"(formerly ACC 250) This course introduces the concept of computer information systems in accounting. The course has a two-pronged approach. First, the general accounting cycles (general ledger, A/R, A/P, etc.) in an accounting. information system are introduced. Second, the accounting cycles are related to the use of computer information technology. Concepts such as flow charting, data flow diagrams, security, and control are stressed.",https://csi-undergraduate.catalog.cuny.edu/courses/0612821,https://explorer.cuny.edu/receiving-course/061282/1
ACC 335,Federal Income Taxation II,"(formerly ACC 251) A broad study of the federal income tax pertaining to corporations and partnerships. A comprehensive study of tax accounting principles as applied to corporations and partnerships, corporate organization and reorganizations, corporate liquidations, corporate distributions, and special classes of corporations. Includes such areas as special deductions and computation of the normal tax, surtax, and tax on net long-term capital gains.",https://csi-undergraduate.catalog.cuny.edu/courses/0612831,https://explorer.cuny.edu/receiving-course/061283/1
ACC 414,Advanced Accounting,"An intensive course in specialized areas of accounting. Current topics, which have influenced the accounting profession and the financial community, such as partnerships, accounting for business combinations, government accounting, and foreign operations, are studied. Emphasis is placed on areas stressed on the CPA examination. The authoritative pronouncements of the Financial Accounting Standards Board and its predecessor, the Accounting Principles Board, are interwoven into class discussions and problems assigned throughout the course. The application of advanced accounting theories to complex, practical problems is an integral part of the course.",https://csi-undergraduate.catalog.cuny.edu/courses/0612971,https://explorer.cuny.edu/receiving-course/061297/1
ACC 415,CPA Problems and Current Issues,"An analysis of the current areas of controversy in the accounting profession, such as pensions and deferred taxes. The course will also serve as an intensive review for the Financial Accounting and Reporting (FAR) portion of the CPA examination.",https://csi-undergraduate.catalog.cuny.edu/courses/0612981,https://explorer.cuny.edu/receiving-course/061298/1
ACC 422,Standards and Procedures of Financial Audits,"Ethics, theory, procedures, and techniques of planning and performing the audit. Examines the attest function, generally accepted auditing standards, auditing and professional standards, and the impact of data analytics.",https://csi-undergraduate.catalog.cuny.edu/courses/0613011,https://explorer.cuny.edu/receiving-course/061301/1
ACC 591,Accounting Ind Study,Accounting Ind Study,https://csi-undergraduate.catalog.cuny.edu/courses/0613051,https://explorer.cuny.edu/receiving-course/061305/1
ACC 592,Accounting Ind Study,Accounting Ind Study,https://csi-undergraduate.catalog.cuny.edu/courses/0613061,https://explorer.cuny.edu/receiving-course/061306/1
ACC 593,Accounting Ind Study,Accounting Ind Study,https://csi-undergraduate.catalog.cuny.edu/courses/0613071,https://explorer.cuny.edu/receiving-course/061307/1
ACC 594,Accounting Ind Study,Accounting Ind Study,https://csi-undergraduate.catalog.cuny.edu/courses/0613081,https://explorer.cuny.edu/receiving-course/061308/1
ACC 595,Accountng Internship,Accountng Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0613091,https://explorer.cuny.edu/receiving-course/061309/1
ACC 596,Accountng Internship,Accountng Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0613101,https://explorer.cuny.edu/receiving-course/061310/1
ACC 597,Accounting Internship,"Internships are experiences in a work situation that integrate an academic area of study with work experience. Courses designated Internships are individual, non-classroom, extended learning projects. They require an on-site supervisor as well as a full-time faculty member as project sponsor. Internships require a daily log of activities, an assigned reading list or preparation of a relevant bibliography, and a final paper that summarizes the way in which goals were achieved and demonstrates the relationship of academic material to the work done during the internship. Internship courses are considered non-liberal arts and sciences. Internship students may not receive credit for paid employment unless they demonstrate the relationship of an appropriate body of academic material to the work required in their employment. The policy on individual Internship projects does not govern the regularly established professional internships (e.g., medical technology, communications).",https://csi-undergraduate.catalog.cuny.edu/courses/0613111,https://explorer.cuny.edu/receiving-course/061311/1
ACC 598,Accountng Internship,Accountng Internship,https://csi-undergraduate.catalog.cuny.edu/courses/0613121,https://explorer.cuny.edu/receiving-course/061312/1
AMS 101,America: An Introduction,"Classic interpretations of American culture through a broad interdisciplinary survey of the men and women, ideas, and events that have contributed to the American experience. The abiding ideas, values, and myths that have shaped the nation's arts, actions, and beliefs, drawing from painting, architecture, film, music, history, and literature. From 17th-century witchcraft to 20th-century witch hunts, from General Washington to (General Hospital), from the assembly line to assembler language, from Revere to Rambo.",https://csi-undergraduate.catalog.cuny.edu/courses/0613791,https://explorer.cuny.edu/receiving-course/061379/1
AMS 150,Dance History: Twentieth-Century Survey,"An evolution of dance from ballet to Beyonce. Explore the origins of twenty first century  dance beginning with romantic ballet, through the American modern dance and jazz revolution of the 1920s and '30s; and ending with dance in the video/digital age. Compare and contrast historic dances and their influence on present day both in the concert (including post modern and contemporary ballet) and entertainment (flexin, bone breaking, hip hop and Afro-beats) genres. No dance background required. (arts & com.)",https://csi-undergraduate.catalog.cuny.edu/courses/0629272,https://explorer.cuny.edu/receiving-course/062927/2
AMS 200,American Culture I,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0613821,https://explorer.cuny.edu/receiving-course/061382/1
AMS 202,American Culture II,See Catalog For Description.,https://csi-undergraduate.catalog.cuny.edu/courses/0613831,https://explorer.cuny.edu/receiving-course/061383/1
AMS 205,Modern Art in Latin America,"An introduction to the development of modern art in Latin America.  We will study the emergence of key art movements in Latin America and how artists participated in and responded to important historical events and social changes across the Americas. How have Latin American artists portrayed the idea of Latin America or being Latino in their work?  Other issues will include: negotiating with their colonial past and with European models of modernity; art and revolution; the question of indigenous art forms and the popular; diasporic continuities within Latin America, Latino experience in the United States, and mestizaje (cultural mixing). (arts & com)",https://csi-undergraduate.catalog.cuny.edu/courses/1093041,https://explorer.cuny.edu/receiving-course/109304/1
AMS 208,Latina/o Media,"Examines the production, content, and reception of Latina/o-oriented media in the U.S. from a transnational perspective.",https://csi-undergraduate.catalog.cuny.edu/courses/1300431,https://explorer.cuny.edu/receiving-course/130043/1
AMS 209,Art and Society in America,"Three hundred years of American art, studied as an expression of American life. Works of art are viewed in terms of style and also as guides to the complexities of American history and culture. (arts & com.)",https://csi-undergraduate.catalog.cuny.edu/courses/0613851,https://explorer.cuny.edu/receiving-course/061385/1
AMS 210,American Philosophy,"A study of philosophy in America. Topics of inquiry will be selected from such movements and figures as the following: Puritanism, empiricism, idealism, and pragmatism; Jonathan Edwards, Ralph Waldo Emerson, Josiah Royce, Charles S. Peirce, William James, John Dewey, George Santayana, and Alfred North Whitehead.",https://csi-undergraduate.catalog.cuny.edu/courses/0671412,https://explorer.cuny.edu/receiving-course/067141/2
